X,Y,date_ech,valeur,source,qualif,couleur,lib_zone,x_wgs84,y_wgs84,the_geom,code_zone,type_zone,val_so2,val_no2,val_o3,val_pm10,val_pm25,id,ObjectId
2.48414,49.2557,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,4,0,32826,80
2.64383,50.5299,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,3,4,0,31964,81
3.0468,50.6309,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,3,4,0,34119,82
1.86846,50.952,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,2,3,4,0,32395,83
3.07828,50.38,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,3,3,4,0,33257,84
2.28449,49.8988,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,4,0,30679,85
3.51387,50.3619,2019-01-07T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,3,5,0,35840,86
1.60995,50.73,2019-01-07T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31541,87
2.26493,50.7674,2019-01-07T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,2,3,3,0,34981,88
2.76812,50.2893,2019-01-07T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,3,5,0,31110,89
3.27898,49.8475,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,2,4,0,35409,90
3.96129,50.2834,2019-01-07T00:00:00.000Z,6,Atmo HDF,Médiocre,#FFAA00,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,3,6,0,34550,91
2.76812,50.2893,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,1,3,2,0,31111,92
2.26493,50.7674,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,3,2,0,34982,93
2.64383,50.5299,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,3,2,0,31965,94
1.60995,50.73,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31542,95
2.28449,49.8988,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,3,0,30680,96
3.96129,50.2834,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,1,3,3,0,34551,97
2.48414,49.2557,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,3,3,0,32827,98
3.51387,50.3619,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,1,3,3,0,35841,99
3.0468,50.6309,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,3,3,0,34120,100
1.86846,50.952,2019-01-08T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,4,0,32396,101
3.27898,49.8475,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,1,3,0,0,35410,102
3.07828,50.38,2019-01-08T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,1,3,3,0,33258,103
2.37084,51.0292,2019-01-08T00:00:00.000Z,6,Atmo HDF,Médiocre,#FFAA00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,2,2,3,6,0,33689,104
3.96129,50.2834,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,1,3,3,0,34552,105
1.60995,50.73,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31543,106
2.28449,49.8988,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,2,0,30681,107
3.0468,50.6309,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,3,3,0,34121,108
2.26493,50.7674,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,3,2,0,34983,109
3.51387,50.3619,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,3,3,0,35842,110
1.86846,50.952,2019-01-09T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,4,0,32397,111
3.27898,49.8475,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,3,2,0,35411,112
2.64383,50.5299,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,2,3,2,0,31966,113
2.48414,49.2557,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,3,2,0,32828,114
2.76812,50.2893,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,1,3,3,0,31112,115
3.07828,50.38,2019-01-09T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,2,3,3,0,33259,116
2.37084,51.0292,2019-01-09T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,2,2,3,5,0,33690,117
3.07828,50.38,2019-01-10T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,3,2,5,0,33260,118
3.96129,50.2834,2019-01-10T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,2,4,0,34553,119
2.37084,51.0292,2019-01-10T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,3,3,4,0,33691,120
3.27898,49.8475,2019-01-10T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,3,2,4,0,35412,121
2.26493,50.7674,2019-01-10T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,3,2,3,0,34984,122
2.28449,49.8988,2019-01-10T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,2,2,3,0,30682,123
3.0468,50.6309,2019-01-10T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,3,2,4,0,34122,124
2.48414,49.2557,2019-01-10T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,3,2,4,0,32829,125
1.86846,50.952,2019-01-10T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,2,3,4,0,32398,126
